Row #,Species,Count,Location,S/P,Date,LocID,SubID
858,Yellow-margined Flycatcher,1,Panama Rainforest Discovery Center,PA-3,12 Apr 2018,L454707,S44511746
859,Brown-capped Tyrannulet,2,Pipeline Road  (Camino del Oleoducto) General area,PA-3,13 Apr 2018,L454711,S44540500
860,Northern Beardless-Tyrannulet,2,Patagonia Roadside Rest Area,US-AZ,19 Jul 2014,L129051,S19156757
861,Yellow Tyrannulet,1,Achiote Rd. (general location),PA-3,14 Apr 2018,L454695,S44575629
862,Yellow-crowned Tyrannulet,4,Nusagandi,PA-KY,09 Apr 2018,L1345857,S44419686
863,Forest Elaenia,1,Toma de agua de Tortí,PA-8,10 Apr 2018,L1126038,S44451812
864,Gray Elaenia,1,Pipeline Road  (Camino del Oleoducto) General area,PA-3,13 Apr 2018,L454711,S44540500
865,Yellow-bellied Elaenia,1,Ammo Dump Ponds,PA-3,12 Apr 2018,L1740339,S44512248
866,Olivaceous Elaenia,1,Parque Barigui,BR-PR,09 Dec 2010,L2433781,S11312568
867,Mistletoe Tyrannulet,1,Carretera El Llano-Cartí--estribaciones del lado Pacífico,PA-8,09 Apr 2018,L4095525,S44419231
868,Bran-colored Flycatcher,1,Sao Luis do Purunã,BR-PR,09 Dec 2010,L1651598,S11312571
869,Tufted Flycatcher,2,Ramsey Canyon Preserve (formerly Mile Hi Ranch),US-AZ,17 Jul 2016,L129062,S30736043
870,Olive-sided Flycatcher,1,Presidio--El Polin Springs,US-CA,13 May 2012,L445199,S10739019
871,Greater Pewee,1,Madera Canyon--Madera Kubo B&B,US-AZ,20 Jul 2014,L296632,S19183487
872,Western Wood-Pewee,,Pinnacles NP--campground,US-CA,24 Jul 2011,L832838,S9846861
873,Eastern Wood-Pewee,1,Acadia NP--Great Meadow,US-ME,20 Jul 2013,L1630801,S14787434
874,Tropical Pewee,1,Nusagandi,PA-KY,09 Apr 2018,L1345857,S44419686
875,Yellow-bellied Flycatcher,1,Baxter SP,US-ME,27 Jun 2016,L296058,S30422308
876,Acadian Flycatcher,15,C&O Canal--Pennyfield Lock,US-MD,25 Jun 2013,L282676,S14550267
877,Alder Flycatcher,1,"Base Station Road, NH",US-NH,29 Jun 2014,L2953733,S18963429
878,Willow Flycatcher,1,Golden Gate Park--North Lake,US-CA,08 Sep 2012,L370768,S11553052
879,Least Flycatcher,1,Golden Gate Park--North Lake,US-CA,08 Sep 2012,L370768,S11553052
880,Hammond's Flycatcher,1,Feather River Meadows (private),US-CA,28 Jul 2012,L1417073,S11247165
881,Gray Flycatcher,1,Cottonwood Canyon Rd.,US-CA,29 Jul 2012,L945978,S11243417
882,Dusky Flycatcher,1,Feather River Meadows (private),US-CA,28 Jul 2012,L1417073,S11247165
883,Pacific-slope Flycatcher,1,Feather River Meadows (private),US-CA,28 Jul 2012,L1417073,S11247165
884,Cordilleran Flycatcher,6,Madera Canyon--Carrie Nation Trail,US-AZ,20 Jul 2014,L2413068,S19183488
885,Black Phoebe,,Presidio--general (use for long traveling checklists encompassing multiple hotspots),US-CA,12 Oct 2008,L291975,S9839335
886,Eastern Phoebe,,J. N. Ding Darling NWR--Bailey Tract,US-FL,30 Dec 2011,L127399,S9855139
887,Say's Phoebe,,Heron's Head Park,US-CA,28 Oct 2010,L502380,S9849957
888,Vermilion Flycatcher,1,Lake Elizabeth,US-CA,02 Dec 2011,L452554,S9847846
889,Crested Black-Tyrant,1,Sao Luis do Purunã,BR-PR,09 Dec 2010,L1651598,S11312571
890,Blue-billed Black-Tyrant,1,Sao Luis do Purunã,BR-PR,09 Dec 2010,L1651598,S11312571
891,Yellow-browed Tyrant,1,Sao Luis do Purunã,BR-PR,09 Dec 2010,L1651598,S11312571
892,Gray Monjita,1,Sao Luis do Purunã,BR-PR,09 Dec 2010,L1651598,S11312571
893,Masked Water-Tyrant,1,Parque Barigui,BR-PR,23 Feb 2013,L2433781,S13163103
894,Long-tailed Tyrant,1,Reserva San Francisco,PA-8,10 Apr 2018,L1092612,S44452000
895,Bright-rumped Attila,1,Achiote Rd. (general location),PA-3,14 Apr 2018,L454695,S44575629
896,Rufous Mourner,1,Pipeline Road  (Camino del Oleoducto) General area,PA-3,13 Apr 2018,L454711,S44540500
897,Dusky-capped Flycatcher,4,Madera Canyon--Mt. Wrightson Picnic Area & Upper Canyon Trails,US-AZ,21 Jul 2012,L296633,S11247321
898,Swainson's Flycatcher,1,Volta Velha Reserve,BR-SC,05 Dec 2010,L1417154,S11312563
899,Panama Flycatcher,1,Bayano Lake bridge,PA-8,09 Apr 2018,L473666,S44451298
900,Ash-throated Flycatcher,,Pinnacles NP--campground,US-CA,24 Jul 2011,L832838,S9846861
901,Great Crested Flycatcher,1,C&O Canal--Great Falls,US-MD,25 Jun 2013,L214293,S14508016
902,Brown-crested Flycatcher,1,Miller Canyon--Beatty's Guest Ranch,US-AZ,22 Jul 2012,L264842,S11247336
903,Cattle Tyrant,1,Volta Velha Reserve,BR-SC,05 Dec 2010,L1417154,S11312563
904,Lesser Kiskadee,1,Río Tortí,PA-8,09 Apr 2018,L5641280,S44451671
905,Great Kiskadee,1,Volta Velha Reserve,BR-SC,05 Dec 2010,L1417154,S11312563
