Row #,Species,Count,Location,S/P,Date,LocID,SubID
1174,Yellow-headed Caracara,3,Canopy Tower locality,PA-8,20 Oct 2014,L9690908,S64937290
1175,Laughing Falcon,,Day 5 Darien - Las Lagunas and El Salto,PA-5,05 Nov 2014,L9688798,S64937276
1176,Pygmy Falcon,1,Awash NP--southern section,ET-AF,16 Feb 2018,L1550655,S58094237
1177,Philippine Falconet,5,Subic Bay,PH-BAN,03 Oct 2015,L921004,S64937456
1178,Pied Falconet,1,Cuc Phuong NP,VN-18,18 Feb 2020,L1086800,S64936891
1179,Lesser Kestrel,1,Abiata Shalla NP--Abijata Lake,ET-OR,20 Feb 2018,L2696254,S61036638
1180,Eurasian Kestrel,,Bhutan,BT-,28 Mar 2010,L3757282,S72501706
1181,American Kestrel,,Pt. Pinole Regional Park,US-CA,06 Jan 1991,L109308,S72093793
1182,Fox Kestrel,1,Jemma Valley--tributary north of crossing,ET-AM,13 Feb 2018,L3236328,S58094076
1183,Gray Kestrel,1,"Rd from Bale Mountains NP to Negele (6.3082,39.8339)",ET-OR,22 Feb 2018,L7004198,S61036532
1184,Merlin,,Grizzly Island Wildlife Area,US-CA,20 Jan 1991,L371137,S72093791
1185,Eurasian Hobby,,Spain,ES-,24 Sep 2016,L3679729,S64937384
1186,African Hobby,1,Hara Langano Lodge,ET-OR,20 Feb 2018,L5217896,S57752670
1187,Aplomado Falcon,,Laguna de Manialtepec,MX-OAX,19 Nov 2007,L221393,S64937484
1188,Bat Falcon,,Day 1 2nd week to Darien from Tower,PA-KY,01 Nov 2014,L9690666,S64937316
1189,Lanner Falcon,3,Sululta Plain,ET-OR,12 Feb 2018,L1550637,S57747740
1190,Saker Falcon,1,Gibe Gorge,ET-SN,01 Mar 2018,L3161011,S58093896
1191,Peregrine Falcon,,Cosumnes River Preserve,US-CA,30 Nov 2002,L656782,S72093639
1192,Prairie Falcon,,Ohlone Audubon Panoche Pass trip,US-CA,05 Feb 2001,L9709844,S72093682
1193,Green Racquet-tail,16,Subic Bay,PH-BAN,03 Oct 2015,L921004,S64937456
1194,Alexandrine Parakeet,,Mannar Island (General),LK-4,06 Feb 2020,L4611450,S64937065
1195,Rose-ringed Parakeet,,Sevilla--Parque de Maria Luisa,ES-AN,22 Sep 2016,L918331,S64937394
1196,Plum-headed Parakeet,,Sinharaja NP--Kudawa access,LK-9,11 Feb 2020,L5400563,S64936978
1197,Layard's Parakeet,,Kandy--Udawatta Kele Sanctuary,LK-2,08 Feb 2020,L4884263,S64937000
1198,Blue-naped Parrot,15,Subic Bay,PH-BAN,03 Oct 2015,L921004,S64937456
1199,Guaiabero,20,Subic Bay,PH-BAN,03 Oct 2015,L921004,S64937456
1200,Sri Lanka Hanging-Parrot,,Kandy--Udawatta Kele Sanctuary,LK-2,08 Feb 2020,L4884263,S64937000
1201,Philippine Hanging-Parrot,13,Subic Bay,PH-BAN,03 Oct 2015,L921004,S64937456
1202,Black-winged Lovebird,1,"(8.9960,38.7861)",ET-AA,11 Feb 2018,L6862688,S57747676
1203,Red-bellied Parrot,3,"Afar Plains—(9.5192,40.0114)",ET-AF,15 Feb 2018,L6877280,S58094165
1204,Yellow-fronted Parrot,1,Hara Langano Lodge,ET-OR,19 Feb 2018,L5217896,S58108066
1205,Monk Parakeet,,Spain,ES-,28 Sep 2016,L3679729,S64937369
1206,Plain Parakeet,2,Itanhaém--Rua Jequirituba,BR-SP,09 Nov 2019,L4998910,S62338095
1207,White-winged Parakeet,,Parque Santander,CO-AMA,27 Jun 2018,L2760361,S64937527
1208,Orange-chinned Parakeet,,Canopy Tower locality,PA-8,20 Oct 2014,L9690908,S64937290
1209,Cobalt-winged Parakeet,,Moyobamba area,PE-SAM,14 Oct 2012,L9695169,S64937187
1210,Pileated Parrot,10,PE Intervales,BR-SP,12 Nov 2019,L972187,S62213679
1211,Blue-bellied Parrot,2,PE Intervales,BR-SP,14 Nov 2019,L972187,S72091441
1212,Brown-hooded Parrot,,Day 1 2nd week to Darien from Tower,PA-KY,01 Nov 2014,L9690666,S64937316
1213,Rose-faced Parrot,8,RN San Cipriano-Escalerete,CO-VAC,04 Jul 2018,L2711479,S72092148
1214,Scaly-headed Parrot,1,Itanhaém--Rua Jequirituba,BR-SP,09 Nov 2019,L4998910,S62338095
1215,Speckle-faced Parrot,,Keulap to Abra Patricia,PE-AMA,10 Oct 2012,L9694503,S64937203
1216,Blue-headed Parrot,,Moyobamba area,PE-SAM,14 Oct 2012,L9695169,S64937187
1217,Bronze-winged Parrot,6,Parque Regional Ucumari--El Cedral,CO-RIS,06 Jul 2019,L2638098,S58069358
1218,Short-tailed Parrot,8,Heliconia Lodge,BR-AM,27 Jun 2018,L3172087,S72502143
1219,Vinaceous-breasted Parrot,34,Campos do Jordão--Av. Pedro Paulo p. Horto Florestal,BR-SP,17 Nov 2019,L10168377,S72091435
1220,Red-lored Parrot,,Canopy Tower locality,PA-8,20 Oct 2014,L9690908,S64937290
1221,Yellow-crowned Parrot,10,Nariva Swamp,TT-RCM,10 Oct 2017,L471384,S58111693
1222,White-fronted Parrot,,Laguna de Manialtepec,MX-OAX,19 Nov 2007,L221393,S64937484
1223,Mealy Parrot,,Canopy Tower locality,PA-8,22 Oct 2014,L9690908,S64937298
1224,Kawall's Parrot,1,Reserva Natural Palmarí,BR-AM,22 Jun 2018,L3018622,S72502203
1225,Red-tailed Parrot,30,Itanhaém--Rua Jequirituba,BR-SP,09 Nov 2019,L4998910,S62338095
1226,Orange-winged Parrot,40,Asa Wright Nature Centre,TT-TUP,07 Oct 2017,L295164,S58111779
1227,Scaly-naped Parrot,5,Reserva Ecológica Río Blanco,CO-CAL,04 Jul 2019,L2241379,S57928050
1228,Mexican Parrotlet,20,El Fuerte,MX-SIN,27 Dec 2002,L3797811,S72501700
1229,Blue-winged Parrotlet,2,Itanhaém--Rua Jequirituba,BR-SP,09 Nov 2019,L4998910,S62338095
1230,Green-rumped Parrotlet,2,Waller Field,TT-TUP,07 Oct 2017,L623424,S58111521
1231,Spectacled Parrotlet,2,Yaviza (poblado),PA-5,06 Nov 2014,L5800707,S64937269
1232,Pacific Parrotlet,,Lima District,PE-LIM,04 Oct 2012,L9693967,S64937239
1233,Black-headed Parrot,2,Caño Culebra Trail,CO-GUA,07 Jul 2018,L7562069,S72092128
1234,Maroon-bellied Parakeet,2,Fazenda Museros e estrada,BR-SP,11 Nov 2019,L9859332,S61861327
1235,Rose-fronted Parakeet,2,Reserva Natural Palmarí,BR-AM,24 Jun 2018,L3018622,S72092190
1236,Maroon-tailed Parakeet,3,RN Tucuxira,CO-AMA,28 Jun 2018,L5868149,S64937517
1237,Orange-fronted Parakeet,,Laguna de Manialtepec,MX-OAX,19 Nov 2007,L221393,S64937484
1238,Brown-throated Parakeet,1,Caño Culebra Trail,CO-GUA,07 Jul 2018,L7562069,S72092128
1239,Dusky-headed Parakeet,6,Reserva Natural Palmarí,BR-AM,24 Jun 2018,L3018622,S72092190
1240,Red-bellied Macaw,25,Nariva Swamp,TT-RCM,10 Oct 2017,L471384,S58111693
1241,Blue-winged Macaw,6,Engenheiro Passos--lago do Hotel Fazenda 3 Pinheiros,BR-RJ,20 Nov 2019,L9804336,S61637925
1242,Blue-and-yellow Macaw,2,Nariva Swamp,TT-RCM,10 Oct 2017,L471384,S58111693
1243,Scarlet Macaw,3,Reserva Natural Palmarí,BR-AM,22 Jun 2018,L3018622,S72502203
1244,Red-and-green Macaw,8,Caño Culebra Trail,CO-GUA,07 Jul 2018,L7562069,S72092128
1245,Chestnut-fronted Macaw,2,Rio Amazonas--Isla Ronda,CO-AMA,29 Jun 2018,L465437,S64937512
1246,Golden-plumed Parakeet,1,Reserva Ecológica Río Blanco,CO-CAL,04 Jul 2019,L2241379,S57928050
1247,Yellow-eared Parrot,14,RNA Loro Orejiamarillo (Yellow-eared Parrot Reserve),CO-ANT,02 Jul 2019,L604060,S57893420
1248,Scarlet-fronted Parakeet,,Celendin to Leimebama,PE-AMA,07 Oct 2012,L9694229,S64937225
