Row #,Species,Count,Location,S/P,Date,LocID,SubID
535,Northern Mockingbird,25,Jeff's,US-CA,09 Jun 2009,L734998,S5075294
536,Eastern Bluebird,2,Jekyll Island (please consider using more specific locations),US-GA,05 Feb 2013,L140461,S12924185
537,Western Bluebird,3,392 Navajo Road,US-NM,29 Apr 2009,L714012,S4938521
538,Mountain Bluebird,8,LVNWR,US-NM,08 Nov 2009,L799446,S5512501
539,Townsend's Solitaire,1,392 Navajo Road,US-NM,04 May 2009,L714012,S4947456
540,Varied Thrush,1,"Denali Hwy, Cantwell US-AK (63.3910,-148.6235)",US-AK,14 Jun 2017,L5976457,S37598262
541,Veery,1,Magee Marsh--Boardwalk,US-OH,09 May 2015,L275986,S23483035
542,Gray-cheeked Thrush,1,Magee Marsh--Boardwalk,US-OH,09 May 2015,L275986,S23483035
543,Swainson's Thrush,2,"253-255 Lost River Road, 253-529 County Highway 9140",US-WA,12 Jul 2014,L2975849,S19083415
544,Hermit Thrush,1,"Los Alamos, 2920 Arizona Avenue",US-NM,15 May 1983,L2575471,S17777145
545,Wood Thrush,2,Black Swamp Bird Observatory and Trails,US-OH,10 May 2015,L740302,S23490724
546,Clay-colored Thrush,2,Sabal Palm Sanctuary (LTC 042),US-TX,01 Mar 2014,L129070,S17311889
547,American Robin,,"Los Alamos, 2920 Arizona Avenue",US-NM,15 May 1983,L2575471,S17777145
548,White-rumped Shama,3,Kilauea Point NWR,US-HI,13 Jan 2013,L266182,S12708689
549,Bluethroat,5,Kougarok Road--traveling,US-AK,18 Jun 2017,L5997860,S37713405
550,Northern Wheatear,1,Kougarok Road--traveling,US-AK,18 Jun 2017,L5997860,S37713405
551,Cedar Waxwing,7,Blue Dot Trail Head,US-NM,24 Jan 2010,L797742,S5803925
552,Phainopepla,1,T or C near Arrey bridge over Rio on SR 187,US-NM,10 Feb 2012,L1086761,S9815934
553,Olive Warbler,1,Madera Canyon--Santa Rita Lodge,US-AZ,06 Dec 2016,L268114,S32896156
554,African Silverbill,3,"HI, Hawaii, Fairmont Orchid Hotel",US-HI,19 Jan 2013,L1900142,S12708734
555,Scaly-breasted Munia,4,Waimea Plantation Cottages,US-HI,14 Jan 2013,L1900103,S12708570
556,Java Sparrow,4,"HI, Kauai, Kilauea town",US-HI,13 Jan 2013,L1900138,S12708698
557,House Sparrow,,"Los Alamos, 2920 Arizona Avenue",US-NM,15 May 1983,L2575471,S17777145
558,Eastern Yellow Wagtail,1,Nome River mouth,US-AK,17 Jun 2017,L279360,S37713453
559,American Pipit,5,Bernardo North #1,US-NM,06 Feb 2010,L846094,S5873979
560,Scrub Euphonia,3,Ejido San Salvador,MX-YUC,03 Nov 2018,L3622236,S50269037
561,Yellow-throated Euphonia,4,Punta Laguna--Santuario de Mono Araña (Spider Monkey Sanctuary),MX-ROO,02 Nov 2018,L1917167,S50232744
562,Olive-backed Euphonia,2,Zona Arqueológica Palenque,MX-CHP,09 Nov 2018,L305877,S49809020
563,Evening Grosbeak,2,392 Navajo Road,US-NM,29 May 2009,L714012,S5047911
564,Hawfinch,4,St. Paul Island (Pribilof Islands-Bering Sea),US-AK,09 Jun 2017,L261146,S37750059
565,Apapane,4,HI: Alakai Swamp Trail--Trailhead to Pihea Trail junction,US-HI,15 Jan 2013,L1426322,S12708514
566,Anianiau,4,HI: Alakai Swamp Trail--Trailhead to Pihea Trail junction,US-HI,15 Jan 2013,L1426322,S12708514
567,Kauai Amakihi,2,HI: Alakai Swamp Trail--Trailhead to Pihea Trail junction,US-HI,15 Jan 2013,L1426322,S12708514
568,Pine Grosbeak,,"Los Alamos, 2920 Arizona Avenue",US-NM,29 Dec 1984,L2575471,S17777363
569,Gray-crowned Rosy-Finch,47,Sandia Crest House,US-NM,07 Feb 2010,L846086,S5873892
570,Black Rosy-Finch,47,Sandia Crest House,US-NM,07 Feb 2010,L846086,S5873892
571,Brown-capped Rosy-Finch,37,Sandia Crest House,US-NM,07 Feb 2010,L846086,S5873892
572,House Finch,30,392 Navajo Road,US-NM,29 Apr 2009,L714012,S4938521
573,Purple Finch,2,US-ME-Portland-36 Caron St - 43.7205x-70.2911,US-ME,18 Aug 2015,L3856550,S24665326
574,Cassin's Finch,2,392 Navajo Road,US-NM,27 Dec 2009,L714012,S5680405
575,Common Redpoll,2,St. Paul Island (Pribilof Islands-Bering Sea),US-AK,10 Jun 2017,L261146,S37749963
576,Hoary Redpoll,3,Nome (town),US-AK,16 Jun 2017,L4004485,S37713481
577,Red Crossbill,9,392 Navajo Road,US-NM,01 Mar 2010,L714012,S6072550
578,White-winged Crossbill,6,Denali Cabins,US-AK,12 Jun 2017,L3758106,S37603532
579,Pine Siskin,,"Los Alamos, 2920 Arizona Avenue",US-NM,31 Dec 1983,L2575471,S17777249
580,Lesser Goldfinch,2,392 Navajo Road,US-NM,29 Apr 2009,L714012,S4938521
