Row #,Species,Count,Location,S/P,Date,LocID,SubID
197,Cooper's Hawk,1,South Berkeley residential,US-CA,27 Jun 2015,L3756413,S24083651
198,Bald Eagle,1,Claremont Canyon Regional Preserve,US-CA,15 Dec 2015,L933409,S26321308
199,Common Black Hawk,2,Rio Nosara estuary,CR-G,29 Jan 2020,L3858895,S63912110
200,Roadside Hawk,1,Liberia--Hilton Garden Inn (airport),CR-G,25 Jan 2020,L3653383,S63756390
201,Gray Hawk,2,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,27 Jan 2020,L10578414,S63858952
202,Red-shouldered Hawk,1,LeConte neighborhood,US-CA,29 Sep 2015,L3960824,S25242010
203,Broad-winged Hawk,4,Hawk Hill,US-CA,17 Sep 2016,L224081,S31626134
204,Swainson's Hawk,1,Sierra Valley--Dyson Ln.,US-CA,02 Jun 2017,L593836,S37336642
205,Red-tailed Hawk,1,Pt. Pinole Regional Park,US-CA,17 May 2015,L109308,S26561977
206,Rough-legged Hawk,2,Salt Springs Valley Rd.,US-CA,22 Nov 2019,L661535,S61661651
207,Ferruginous Hawk,1,Fernandez Ranch,US-CA,13 Nov 2016,L923776,S32527299
208,Barn Owl,2,Rush Ranch Open Space,US-CA,18 Oct 2015,L469673,S25463002
209,Western Screech-Owl,1,Lafayette / Moraga Regional Trail,US-CA,20 Aug 2016,L3013875,S31170352
210,Great Horned Owl,1,"Wildcat Canyon Regional Park, Rifle Range Trail",US-CA,28 Jun 2015,L3757313,S24088194
211,Northern Pygmy-Owl,1,Redwood Regional Park (CC Co.),US-CA,12 Mar 2017,L500405,S35145735
212,Ferruginous Pygmy-Owl,1,"Villa Mariposa, Nosara, Guanacaste Province, CR (9.991, -85.625)",CR-G,25 Jan 2020,L10573282,S63780787
213,Burrowing Owl,1,Cesar Chavez Park,US-CA,20 Oct 2015,L285281,S25492373
214,Spotted Owl,3,Phoenix Lake,US-CA,19 Aug 2017,L428956,S38725912
215,Great Gray Owl,1,Ackerson Meadow,US-CA,17 Jun 2018,L594031,S46629755
216,Long-eared Owl,1,Lundy Canyon,US-CA,16 Jun 2018,L1026774,S46589882
217,Short-eared Owl,1,Hayward Regional Shoreline--Winton Ave. access and parking area,US-CA,13 Dec 2017,L470891,S41073204
218,Black-headed Trogon,1,"Unnamed Road, Nosara, Provincia de Guanacaste, CR (9.987, -85.646)",CR-G,25 Jan 2020,L10577040,S63801452
219,Gartered Trogon,1,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,28 Jan 2020,L10578414,S63885772
220,Turquoise-browed Motmot,1,"Villa Mariposa, Nosara, Guanacaste Province, CR (9.991, -85.625)",CR-G,25 Jan 2020,L10573282,S63780787
221,Ringed Kingfisher,1,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,26 Jan 2020,L10578414,S63808343
222,Belted Kingfisher,1,Brickyard Cove (ALA Co.),US-CA,21 Sep 2015,L1365042,S25127306
223,Amazon Kingfisher,1,"Finca Austria, Nosara, Provincia de Guanacaste, CR (9.986, -85.624)",CR-G,26 Jan 2020,L10578414,S63808343
224,Green Kingfisher,1,Rio Nosara estuary,CR-G,29 Jan 2020,L3858895,S63912110
225,Williamson's Sapsucker,2,Owens River Rd.--1 mile east of  Hwy 395,US-CA,16 Jun 2018,L1622536,S46601685
226,Yellow-bellied Sapsucker,1,"38.357x-77.093 - Jan 12, 2016 1:14 PM",US-VA,12 Jan 2016,L4153530,S26860262
